O Grilo | Sofia;
Daparte | O Eterno Em Caraiva;
Daparte e Ze Ibarra | Pescador;
Daparte | Acrobata;
Daparte | Iaia (Ao Vivo no Sonasterio);
Daparte | Voce Gosta Dela (Ao Vivo no Sonasterio);
Daparte | Queria Eu (Ao Vivo no Sonasterio);
Daparte | Nunca Fui Desse Lugar (Ao Vivo no Sonasterio);
Daparte | Farol (Ao Vivo no Sonasterio);
Daparte | Calma (Ao Vivo no Sonasterio);
Daparte | A Noite;
Gilsons | Varias Queixas;
Gilsons | Vento Alecrim;
Gilsons | Love Love;
Gilsons | Cores e Nomes;
Gilsons | A Voz;
Gilsons | Devagarinho;
Gilsons | India;
Gilsons | Besteira;
Gilsons | Algum Ritmo;
Gilsons | Proposta;
Gilsons | Duas Cidades;
Gilsons | Bateu;
Gilsons | ME LIGA;
Gilsons | Bebe;
Gilsons | Pra Gente Acordar;
Gilsons | Vem de La;
Gilsons | Des;
Gilsons | Proposta;
Gilsons | Duas Cidades;
Gilsons | Um So;
Gilsons | Bela;
Gilsons | O Dia Nasceu;
Gilsons | Voltar a Bahia;
Gilsons | Introducao (Ao Vivo);
Gilsons | Pra gente acordar (Ao Vivo);
Gilsons | Algum Ritmo (Ao Vivo);
Gilsons | Vento alecrim (Ao Vivo);
Gilsons | Vem de la (Ao Vivo);
Gilsons | Devagarinho (Ao Vivo);
Gilsons | O dia nasceu (Ao Vivo);
Gilsons | Cores e nomes (Ao Vivo);
Gilsons | Des (Ao Vivo);
Gilsons | India (Ao Vivo);
Gilsons | Swing de Campo Grande (Ao Vivo);
Gilsons | Bateu (Ao Vivo);
Gilsons | Duas cidades (Ao Vivo);
Gilsons | Bela (Ao Vivo);
Gilsons | A Voz (Ao Vivo);
Gilsons | Proposta (Ao Vivo);
Gilsons | Um so (Ao Vivo);
Gilsons | Voltar a Bahia (Ao Vivo);
Gilsons | Love love (Ao Vivo);
Gilsons | Varias queixas (Ao Vivo);
Terno Rei | Manga Rosa;
Terno Rei | Luz de Bem;
Terno Rei | Quando o Dia Raiou;
Terno Rei | Esconderijo;
Terno Rei | Sinais;
Terno Rei | Crianca;
Terno Rei | Depressao na Pista de Danca;
Terno Rei | Litoral;
Terno Rei | A Prosa;
Terno Rei | Para o Centro;
Terno Rei | Essa Noite Bateu Com um Sonho;
Terno Rei | Desconhecido;
Terno Rei | Yoko;
Terno Rei | Dia Lindo;
Terno Rei | Solidao de Volta;
Terno Rei | 93;
Terno Rei | Medo;
Terno Rei | Estava Ali;
Terno Rei | Amor-Perfeito;
Terno Rei | Sao Paulo;
Terno Rei | Luzes de Natal;
Terno Rei | Roda Gigante;
Terno Rei | Vento na Cara;
Terno Rei | Esperando Voce;
Terno Rei | Dias da Juventude;
Terno Rei | Sorte Ainda;
Terno Rei | Dificil;
Terno Rei | Brutal;
Terno Rei | Internet;
Terno Rei | Avioes;
Terno Rei | So Eu Sei;
Terno Rei | Retrovisor;
Terno Rei | Isabella;
Terno Rei | Trailers;
Terno Rei | Olha So;
Terno Rei | Peito;
Terno Rei | Nada Igual;
Terno Rei | Nenhuma Estrela;
Terno Rei | Proxima Parada;
Terno Rei | Casa Vazia;
Terno Rei | Relogio;
Terno Rei | Pega;
Terno Rei | Programacao Normal;
Terno Rei | 32;
Terno Rei | Coracao Partido;
Terno Rei | Tempo;
Terno Rei | Viver de Amor;
Terno Rei | Acordo;
Terno Rei | Entorpecer;
Terno Rei | Leve Sentimento;
Terno Rei | Estrago;
Terno Rei | Metropole;
Terno Rei | Realizei;
Terno Rei | Neblina;
Terno Rei | Pivete;
Terno Rei | Sao Paulo (Acustico);
Terno Rei | Eu Amo Voce (Acustico);
Terno Rei | Dia Lindo (Acustico);
Terno Rei | Medo (Acustico);
Terno Rei | Luzes de Natal (Acustico);
Terno Rei | Lilas;
Terno Rei (feat. Samuel Rosa) | Balada do Amor Inabalavel;
Terno Rei (feat. Samuel Rosa) | Medo;
Terno Rei (feat. Samuel Rosa) | Resposta;
Terno Rei | Brutal;
Terno Rei | Sorte Ainda;
Terno Rei | Dificil;
Terno Rei | Mercado;
Terno Rei | Chuva;
Terno Rei | Mantra;
Terno Rei | Cores Vivas;
Jovem Dionisio | Pastel;
Jovem Dionisio | Ce me viu ontem;
Jovem Dionisio | Risco;
Jovem Dionisio | Satisfazer;
Jovem Dionisio | ACORDA PEDRINHO;
Jovem Dionisio | Nao foi por mal;
Jovem Dionisio | Invisivel;
Jovem Dionisio | Nao da mais;
Jovem Dionisio | Belnini;
Jovem Dionisio | Mas de preferencia nao;
Jovem Dionisio | Ai de mim;
Jovem Dionisio | Nao vou dancar sozinho;
Jovem Dionisio | Tu tem jeito de quem gosta;
Jovem Dionisio | Tartarugas;
Jovem Dionisio | to bem;
Jovem Dionisio | passeando no seu jeito;
Jovem Dionisio | Fato Curioso;
Jovem Dionisio | sinto muito (demo);
Jovem Dionisio | BAGRE;
Jovem Dionisio | Rua de Baixo;
Jovem Dionisio | eu preciso te dizer que;
Jovem Dionisio | Fantasma Del;
Jovem Dionisio | Nao Saio da Sua Casa;
Jovem Dionisio | Neste Contexto;
Jovem Dionisio | Romance Frito;
Jovem Dionisio | Te Olhei;
Jovem Dionisio | Sonho Bossa Nova;
Jovem Dionisio | Ilha do Mel;
Jovem Dionisio | Filme de Cinema;
Jovem Dionisio | Porem;
Jovem Dionisio | Pontos de Exclamacao;
Jovem Dionisio | Amigos Ate Certa Instancia;
Jovem Dionisio | E Osso;
Jovem Dionisio | Amor de Cao;
Jovem Dionisio | Copacabana;
